Defense	Item	Popularity	Attack	Eps	Steps	HRBefAtt@50	HRAftAtt@50	NumImprov	PredShift
denoiser	1791	7869	bbcat770	16	4	0.002948765204570586	0.00030716304214276936	0.7167956751443666	1.449121117591858
denoiser	1791	7869	bbcat770	8	1	0.002948765204570586	0.0002457304337142155	0.7061678338862268	1.3008623123168945
denoiser	1791	7869	bbcat770	4	4	0.002948765204570586	0.00012286521685710776	0.6456567145841012	0.5150701999664307
denoiser	1791	7869	insa	4	4	0.002948765204570586	0.000982921734856862	0.8134291682024819	1.0346550941467285
denoiser	1791	7869	insa	16	1	0.002948765204570586	0.0007371913011426465	0.672134168816808	0.5138708353042603
denoiser	1791	7869	bbcat770	16	8	0.002948765204570586	0.00018429782528566163	0.7225089077282222	1.5946705341339111
denoiser	1791	7869	wbsign	8	1	0.002948765204570586	0.00043002825899987715	0.7254576729327927	1.3600577116012573
denoiser	1791	7869	bbcat770	8	4	0.002948765204570586	0.0007986239095712004	0.6508170536920997	0.7776622176170349
denoiser	1791	7869	wbsign	8	4	0.002948765204570586	0.0015972478191424008	0.8108489986484826	1.4439723491668701
denoiser	1791	7869	wbsign	16	8	0.002948765204570586	0.0036245238972846786	0.8820493918171766	2.7794079780578613
denoiser	1791	7869	insa	8	4	0.002948765204570586	0.0008600565179997543	0.8603022484334685	1.5384039878845215
denoiser	1791	7869	wbsign	16	4	0.002948765204570586	0.0041774173731416635	0.8286644550927632	2.4804224967956543
denoiser	1791	7869	wbsign	4	1	0.002948765204570586	0.00030716304214276936	0.6738542818528075	0.6567410826683044
denoiser	1791	7869	insa	16	8	0.002948765204570586	0.007740508661997788	0.931011180734734	2.5901432037353516
denoiser	1791	7869	wbsign	4	4	0.002948765204570586	0.0006143260842855387	0.7620715075562109	0.8182956576347351
denoiser	1791	7869	insa	16	4	0.002948765204570586	0.0037473891141417866	0.9256051111930212	2.324220895767212
denoiser	1791	7869	bbcat770	8	8	0.002948765204570586	0.0005528934758569849	0.6874923209239464	0.9693804979324341
denoiser	1791	7869	wbsign	16	1	0.002948765204570586	0.003563091288856125	0.7465904902322152	2.1467912197113037
denoiser	1791	7869	insa	8	8	0.002948765204570586	0.0013515173854281852	0.8348077159356186	1.5396326780319214
denoiser	1791	7869	insa	8	1	0.002948765204570586	0.0002457304337142155	0.5929475365524021	0.2695317268371582
denoiser	1791	7869	wbsign	8	8	0.002948765204570586	0.0028873325961420323	0.8679198918786092	2.058197259902954
denoiser	1791	7869	bbcat770	4	1	0.002948765204570586	0.00012286521685710776	0.6379162059221034	0.5714497566223145
denoiser	1791	7869	wbsign	4	8	0.002948765204570586	0.00030716304214276936	0.8013269443420568	0.96315997838974
denoiser	1791	7869	bbcat770	16	1	0.002948765204570586	0.002457304337142155	0.6218208625138223	1.070568323135376
denoiser	1791	7869	insa	4	1	0.002948765204570586	0.00036859565057132326	0.6877380513576606	0.44693946838378906
denoiser	1791	7869	insa	4	8	0.002948765204570586	0.0007371913011426465	0.8325961420321907	1.258754849433899
denoiser	1791	7869	bbcat770	4	8	0.002948765204570586	0.0002457304337142155	0.6232952451161077	0.41684994101524353
denoiser	15691	5111	bbcat770	16	4	0.00030716304214276936	0.0015972478191424008	0.610578695171397	0.40410473942756653
denoiser	15691	5111	bbcat770	8	1	0.00030716304214276936	0.0002457304337142155	0.48980218700086003	-0.04841511324048042
denoiser	15691	5111	bbcat770	4	4	0.00030716304214276936	0.0007986239095712004	0.6648851210222386	0.23567557334899902
denoiser	15691	5111	insa	4	4	0.00030716304214276936	0.000982921734856862	0.9942253348077159	1.0967158079147339
denoiser	15691	5111	insa	16	1	0.00030716304214276936	0.00030716304214276936	0.9119670721218823	0.48433709144592285
denoiser	15691	5111	bbcat770	16	8	0.00030716304214276936	0.003440226071999017	0.5312077650817054	0.13988599181175232
denoiser	15691	5111	wbsign	8	1	0.00030716304214276936	0.003563091288856125	0.9209976655608797	1.5570588111877441
denoiser	15691	5111	bbcat770	8	4	0.00030716304214276936	0.000982921734856862	0.5232829585944219	0.06586853414773941
denoiser	15691	5111	wbsign	8	4	0.00030716304214276936	0.0021501412949993855	0.9763484457550068	1.6160616874694824
denoiser	15691	5111	wbsign	16	8	0.00030716304214276936	0.006327558668141049	0.9755498218454356	2.4963529109954834
