Defense	Item	Popularity	Attack	Eps	Steps	HRBefAtt@50	HRAftAtt@50	NumImprov	PredShift
denoiser	9546	10944	bbcat916	4	8	0.0	0.0	0.8160329218106996	0.3636305034160614
denoiser	9546	10944	bbcat916	16	4	0.0	3.292181069958848e-05	0.9491028806584362	2.383012294769287
denoiser	9546	10944	wbsign	16	8	0.0	3.292181069958848e-05	0.9420576131687243	2.780365228652954
denoiser	9546	10944	wbsign	16	1	0.0	0.0002962962962962963	0.9361316872427984	4.718185901641846
denoiser	9546	10944	wbsign	4	8	0.0	9.876543209876543e-05	0.982320987654321	1.169545292854309
denoiser	9546	10944	wbsign	4	4	0.0	6.584362139917696e-05	0.9648724279835391	1.6540225744247437
denoiser	9546	10944	bbcat916	4	1	0.0	0.0	0.9425514403292181	1.2920422554016113
denoiser	9546	10944	insa	8	8	0.0	3.292181069958848e-05	0.9656625514403292	1.497652292251587
denoiser	9546	10944	bbcat916	8	8	0.0	0.0	0.8536954732510288	0.6791771650314331
denoiser	9546	10944	wbsign	4	1	0.0	0.0	0.9133168724279835	1.8785468339920044
denoiser	9546	10944	insa	4	8	0.0	6.584362139917696e-05	0.9721481481481481	1.624132752418518
denoiser	9546	10944	insa	4	4	0.0	9.876543209876543e-05	0.9786337448559671	1.8104255199432373
denoiser	9546	10944	insa	16	4	0.0	0.0	0.9489711934156378	2.42895245552063
denoiser	9546	10944	insa	4	1	0.0	0.0	0.8972510288065844	1.5529032945632935
denoiser	9546	10944	bbcat916	16	8	0.0	0.0	0.8507325102880658	1.0406357049942017
denoiser	9546	10944	insa	16	1	0.0	0.0	0.8821069958847737	1.5832369327545166
denoiser	9546	10944	bbcat916	16	1	0.0	0.0	0.912954732510288	3.5623018741607666
denoiser	9546	10944	wbsign	8	8	0.0	9.876543209876543e-05	0.9644115226337449	1.9149683713912964
denoiser	9546	10944	insa	8	1	0.0	0.0	0.859358024691358	1.2352265119552612
denoiser	9546	10944	bbcat916	4	4	0.0	0.0	0.9110123456790123	0.6655715703964233
denoiser	9546	10944	insa	16	8	0.0	0.0	0.9292510288065844	2.2956461906433105
denoiser	9546	10944	wbsign	8	4	0.0	6.584362139917696e-05	0.9961481481481481	1.7224560976028442
denoiser	9546	10944	insa	8	4	0.0	0.0	0.9405761316872427	2.013272285461426
denoiser	9546	10944	wbsign	16	4	0.0	0.00019753086419753085	0.9569053497942387	3.059293270111084
denoiser	9546	10944	wbsign	8	1	0.0	0.0	0.9486748971193416	3.2368650436401367
denoiser	9546	10944	bbcat916	8	1	0.0	0.0	0.9521316872427984	2.137695074081421
denoiser	9546	10944	bbcat916	8	4	0.0	0.0	0.8557037037037037	0.7341175675392151
denoiser	17425	7149	bbcat916	4	8	0.0001646090534979424	0.00019753086419753085	0.9487407407407408	0.6110237836837769
denoiser	17425	7149	bbcat916	16	4	0.0001646090534979424	3.292181069958848e-05	0.8016790123456791	0.6918076872825623
denoiser	17425	7149	wbsign	16	8	0.0001646090534979424	0.0	0.860246913580247	1.4044256210327148
denoiser	17425	7149	wbsign	16	1	0.0001646090534979424	9.876543209876543e-05	0.9600329218106995	2.0710887908935547
