Defense	Item	Popularity	Attack	Eps	Steps	HRBefAtt@50	HRAftAtt@50	NumImprov	PredShift
denoiser	11581	3571	bbcat770	16	4	0.007986239095712003	0.0	0.5081705369209977	-0.008864336647093296
denoiser	11581	3571	bbcat770	8	1	0.007986239095712003	0.00043002825899987715	0.47051234795429414	-0.2569408118724823
denoiser	11581	3571	bbcat770	4	4	0.007986239095712003	0.00012286521685710776	0.5234672564197076	0.06524931639432907
denoiser	11581	3571	insa	4	4	0.007986239095712003	0.001474382602285293	0.6455952819756727	0.4477839171886444
denoiser	11581	3571	insa	16	1	0.007986239095712003	0.000491460867428431	0.600380882172257	0.24567119777202606
denoiser	11581	3571	bbcat770	16	8	0.007986239095712003	0.00018429782528566163	0.5285661629192776	0.22053752839565277
denoiser	11581	3571	wbsign	8	1	0.007986239095712003	0.0006143260842855387	0.6443666298071016	0.9706061482429504
denoiser	11581	3571	bbcat770	8	4	0.007986239095712003	0.0	0.5098906499569972	0.001177894533611834
denoiser	11581	3571	wbsign	8	4	0.007986239095712003	0.0015972478191424008	0.6643322275463817	1.0680735111236572
denoiser	11581	3571	wbsign	16	8	0.007986239095712003	0.0009214891264283082	0.7018061186877995	1.7717857360839844
denoiser	11581	3571	insa	8	4	0.007986239095712003	0.001474382602285293	0.6811647622558054	0.7324347496032715
denoiser	11581	3571	wbsign	16	4	0.007986239095712003	0.0009214891264283082	0.6995331121759429	1.5793015956878662
denoiser	11581	3571	wbsign	4	1	0.007986239095712003	0.00018429782528566163	0.6144489495023959	0.5746999382972717
denoiser	11581	3571	insa	16	8	0.007986239095712003	0.000982921734856862	0.7459761641479297	1.329223871231079
denoiser	11581	3571	wbsign	4	4	0.007986239095712003	0.00018429782528566163	0.6089814473522546	0.4734950363636017
denoiser	11581	3571	insa	16	4	0.007986239095712003	0.0011672195601425237	0.6931441208993734	0.7726655602455139
denoiser	11581	3571	bbcat770	8	8	0.007986239095712003	0.0	0.4976041282712864	-0.07732931524515152
denoiser	11581	3571	wbsign	16	1	0.007986239095712003	0.000491460867428431	0.5935618626366875	0.7021446228027344
denoiser	11581	3571	insa	8	8	0.007986239095712003	0.00036859565057132326	0.6600933775648115	0.7974497675895691
denoiser	11581	3571	insa	8	1	0.007986239095712003	0.000491460867428431	0.5981078756604006	0.2367137223482132
denoiser	11581	3571	wbsign	8	8	0.007986239095712003	0.00043002825899987715	0.6917926035139452	1.0953601598739624
denoiser	11581	3571	bbcat770	4	1	0.007986239095712003	6.143260842855388e-05	0.4998771347831429	-0.06287946552038193
denoiser	11581	3571	wbsign	4	8	0.007986239095712003	0.00036859565057132326	0.6760044231478068	0.7363828420639038
denoiser	11581	3571	bbcat770	16	1	0.007986239095712003	0.0015972478191424008	0.4971741000122865	-0.07366528362035751
denoiser	11581	3571	insa	4	1	0.007986239095712003	0.000491460867428431	0.5995208256542572	0.2189038246870041
denoiser	11581	3571	insa	4	8	0.007986239095712003	0.0012900847769996315	0.6588032927878118	0.5747643113136292
denoiser	11581	3571	bbcat770	4	8	0.007986239095712003	0.0	0.49526968915100134	-0.07376588135957718
denoiser	9471	7433	bbcat770	16	4	0.0015358152107138468	6.143260842855388e-05	0.5865585452758324	0.5862979292869568
denoiser	9471	7433	bbcat770	8	1	0.0015358152107138468	0.0012286521685710775	0.5586067084408404	0.2713949680328369
denoiser	9471	7433	bbcat770	4	4	0.0015358152107138468	0.0012900847769996315	0.6950485317606585	0.2719463109970093
denoiser	9471	7433	insa	4	4	0.0015358152107138468	0.0044231478068558795	0.852377441946185	0.8636345863342285
denoiser	9471	7433	insa	16	1	0.0015358152107138468	0.0020887086865708318	0.7928492443789164	0.4162141978740692
denoiser	9471	7433	bbcat770	16	8	0.0015358152107138468	0.00036859565057132326	0.7310480402997911	1.6511279344558716
denoiser	9471	7433	wbsign	8	1	0.0015358152107138468	0.0028258999877134785	0.8422410615554736	1.8093401193618774
